query,document_id,document_text,model,similarity,confidence_level,timestamp
nose wheel replacement,1,"Text: AUTO FLT FCU 1 fault on descent (EI-724). QRH reset carried out in flight, successful. | Actions: RESET PER QRH PROCEDURE. SYSTEM OPERATIONAL. | ATA: 22-96",MINILM,-0.0082,🔴 Weak Match,2025-07-27T21:22:25.259764
nose wheel replacement,1,"Text: AUTO FLT FCU 1 fault on descent (EI-724). QRH reset carried out in flight, successful. | Actions: RESET PER QRH PROCEDURE. SYSTEM OPERATIONAL. | ATA: 22-96",MPNET,0.0736,🔴 Weak Match,2025-07-27T21:22:25.259764
nose wheel replacement,2,Text: Nose wheel worn to limits. | Actions: REPLACED NOSE WHEEL IAW AMM 32-41-12 PB 400 RIGHT HAND | ATA: 32-41,MINILM,0.6196,🟢 Strong Match,2025-07-27T21:22:25.259764
nose wheel replacement,2,Text: Nose wheel worn to limits. | Actions: REPLACED NOSE WHEEL IAW AMM 32-41-12 PB 400 RIGHT HAND | ATA: 32-41,MPNET,0.7176,🟢 Strong Match,2025-07-27T21:22:25.259764
nose wheel replacement,3,Text: Loudspeaker not working. | Actions: POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25. | ATA: 23-51,MINILM,0.0775,🔴 Weak Match,2025-07-27T21:22:25.259764
nose wheel replacement,3,Text: Loudspeaker not working. | Actions: POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25. | ATA: 23-51,MPNET,0.1997,🔴 Weak Match,2025-07-27T21:22:25.259764
nose wheel replacement,4,Text: Loudspeaker confirmed unserviceable. Referenced MEL 23-51-04A. | Actions: CALLED FOR SPARES IAW MEL PROCEDURE. | ATA: 23-51 | MEL: 23-51-04A,MINILM,0.1384,🔴 Weak Match,2025-07-27T21:22:25.259764
nose wheel replacement,4,Text: Loudspeaker confirmed unserviceable. Referenced MEL 23-51-04A. | Actions: CALLED FOR SPARES IAW MEL PROCEDURE. | ATA: 23-51 | MEL: 23-51-04A,MPNET,0.2105,🔴 Weak Match,2025-07-27T21:22:25.259764
nose wheel replacement,5,Text: Landing gear extension test completed. | Actions: EXTENSION CHECK COMPLETED. SYSTEMS OPERATIONAL. | ATA: 32-00,MINILM,0.134,🔴 Weak Match,2025-07-27T21:22:25.259764
nose wheel replacement,5,Text: Landing gear extension test completed. | Actions: EXTENSION CHECK COMPLETED. SYSTEMS OPERATIONAL. | ATA: 32-00,MPNET,0.1755,🔴 Weak Match,2025-07-27T21:22:25.259764
speaker potentiometer fault,1,"Text: AUTO FLT FCU 1 fault on descent (EI-724). QRH reset carried out in flight, successful. | Actions: RESET PER QRH PROCEDURE. SYSTEM OPERATIONAL. | ATA: 22-96",MINILM,0.1949,🔴 Weak Match,2025-07-27T21:22:25.655615
speaker potentiometer fault,1,"Text: AUTO FLT FCU 1 fault on descent (EI-724). QRH reset carried out in flight, successful. | Actions: RESET PER QRH PROCEDURE. SYSTEM OPERATIONAL. | ATA: 22-96",MPNET,0.1824,🔴 Weak Match,2025-07-27T21:22:25.655615
speaker potentiometer fault,2,Text: Nose wheel worn to limits. | Actions: REPLACED NOSE WHEEL IAW AMM 32-41-12 PB 400 RIGHT HAND | ATA: 32-41,MINILM,0.0721,🔴 Weak Match,2025-07-27T21:22:25.655615
